CMDLINE /usr/bin/python task_2.1.py
FUNC __main__.evolve 74.9766 1706531332.2835 74.9766 1706531332.4228 1
FUNC __main__.evolve 74.9766 1706531332.4261 74.9766 1706531332.5658 1
FUNC __main__.evolve 74.9766 1706531332.5690 74.9766 1706531332.7065 1
FUNC __main__.evolve 74.9766 1706531332.7097 74.9766 1706531332.8477 1
FUNC __main__.evolve 74.9766 1706531332.8508 74.9766 1706531332.9894 1
FUNC __main__.evolve 74.9766 1706531332.9927 74.9766 1706531333.1313 1
FUNC __main__.evolve 74.9766 1706531333.1344 74.9766 1706531333.2738 1
FUNC __main__.evolve 74.9766 1706531333.2774 74.9766 1706531333.4161 1
FUNC __main__.evolve 74.9766 1706531333.4192 74.9766 1706531333.5572 1
FUNC __main__.evolve 74.9766 1706531333.5605 74.9766 1706531333.6983 1
FUNC __main__.evolve 74.9766 1706531333.7014 74.9766 1706531333.8392 1
FUNC __main__.evolve 74.9766 1706531333.8423 74.9766 1706531333.9794 1
FUNC __main__.evolve 74.9766 1706531333.9827 74.9766 1706531334.1230 1
FUNC __main__.evolve 74.9766 1706531334.1264 74.9766 1706531334.2664 1
FUNC __main__.evolve 74.9766 1706531334.2696 74.9766 1706531334.4091 1
FUNC __main__.evolve 74.9766 1706531334.4122 74.9766 1706531334.5515 1
FUNC __main__.evolve 74.9766 1706531334.5547 74.9766 1706531334.6929 1
FUNC __main__.evolve 74.9766 1706531334.6962 74.9766 1706531334.8337 1
FUNC __main__.evolve 74.9766 1706531334.8368 74.9766 1706531334.9747 1
FUNC __main__.evolve 74.9766 1706531334.9779 74.9766 1706531335.1161 1
FUNC __main__.evolve 74.9766 1706531335.1193 74.9766 1706531335.2585 1
FUNC __main__.evolve 74.9766 1706531335.2618 74.9766 1706531335.4000 1
FUNC __main__.evolve 74.9766 1706531335.4031 74.9766 1706531335.5433 1
FUNC __main__.evolve 74.9766 1706531335.5465 74.9766 1706531335.6857 1
FUNC __main__.evolve 74.9766 1706531335.6891 74.9766 1706531335.8269 1
FUNC __main__.evolve 74.9766 1706531335.8303 74.9766 1706531335.9681 1
FUNC __main__.evolve 74.9766 1706531335.9713 74.9766 1706531336.1104 1
FUNC __main__.evolve 74.9766 1706531336.1137 74.9766 1706531336.2503 1
FUNC __main__.evolve 74.9766 1706531336.2536 74.9766 1706531336.3904 1
FUNC __main__.evolve 74.9766 1706531336.3937 74.9766 1706531336.5309 1
FUNC __main__.evolve 74.9766 1706531336.5342 74.9766 1706531336.6712 1
FUNC __main__.evolve 74.9766 1706531336.6746 74.9766 1706531336.8114 1
FUNC __main__.evolve 74.9766 1706531336.8145 74.9766 1706531336.9510 1
FUNC __main__.evolve 74.9766 1706531336.9544 74.9766 1706531337.0914 1
FUNC __main__.evolve 74.9766 1706531337.0947 74.9766 1706531337.2313 1
FUNC __main__.evolve 74.9766 1706531337.2348 74.9766 1706531337.3730 1
FUNC __main__.evolve 74.9766 1706531337.3762 74.9766 1706531337.5218 1
FUNC __main__.evolve 74.9766 1706531337.5248 74.9766 1706531337.6612 1
FUNC __main__.evolve 74.9766 1706531337.6646 74.9766 1706531337.8012 1
